Região,Sul,Sudeste,Nordeste,Norte,Centro Oeste
2013,108377.25272133382,360910.76400205283,100863.80080976928,39052.41381481839,43989.07673565024
2014,109241.8177051255,342721.76908646757,99584.2628549759,39633.38917977397,44362.29744887989
2015,107803.18590073226,325272.6551152466,98497.41774915383,37812.87837361879,44019.474880557784
2016,102327.64165006093,289430.51873050485,93657.07637814211,33877.168033104084,41343.92047323706
2017,103680.86272445024,287783.22866194893,92706.64827823863,34106.14835913348,41149.89338944564
2018,107433.09372927809,299594.7651087947,98340.8046620361,36658.62869359784,43030.44006035107
2019,109201.4,304522.2,102008.39,39028.65,45623.700000000004
