Estado,Rio Grande do Sul,Paraná,Santa Catarina
2013,3899.3982970468196,3526.6228792797133,3928.1358020196485
2014,3844.0767267137007,3548.903153643771,3988.660875661731
2015,3715.8079008426184,3617.754278555705,3757.460388001634
2016,3622.4498824986954,3337.592582921326,3461.2667098396596
2017,3558.039684715478,3442.3891945267223,3488.3664536231695
2018,3784.106791440121,3406.8150219660165,3660.0813166085904
2019,3754.73,3392.28,3865.53
