Estado,Rio Grande do Sul,Paraná,Santa Catarina
2013,46764.90106109635,42546.00105794673,27835.537771912517
2014,46402.947146057784,43079.95672514531,28607.57241642594
2015,45036.81723201713,43959.969456292565,27315.59629275091
2016,43758.40440840742,40940.905082879704,25581.353063030423
2017,43022.346738750435,42177.52264083558,25930.316745611024
2018,45668.66699151154,42008.53372923582,27495.87013433186
2019,45435.19,42029.85,29228.96
