Estado,Rio de Janeiro,Minas Gerais,São Paulo,Espírito Santo
2013,92.02248874994939,103.95480059736306,147.74825926247814,206.78509013057194
2014,89.80746039780232,123.98033579196685,142.9112508638806,242.1412739749693
2015,105.16598094331212,85.06014201592588,144.02853735865736,186.03467771053207
2016,68.1460297923916,82.48772375207199,121.28384459172024,169.6296029958672
2017,71.7738238155955,68.41930584422305,122.34880882168707,165.89323859065297
2018,79.80932297334705,61.49328074449898,127.33960839420916,168.2831832234152
2019,71.39,68.9,122.29,185.64
