Estado,Acre,Amapá,Amazonas,Roraima,Rondônia,Pará,Tocantins
2013,0.74,0.78,0.24,0.77,0.45,0.39,0.64
2014,0.73,0.77,0.24,0.76,0.44,0.38,0.63
2015,0.73,0.8,0.26,0.76,0.44,0.37,0.62
2016,0.75,0.75,0.3,0.76,0.47,0.39,0.61
2017,0.71,0.78,0.26,0.74,0.45,0.37,0.58
2018,0.68,0.75,0.25,0.74,0.44,0.38,0.57
2019,0.7,0.76,0.25,0.69,0.43,0.37,0.57
