Estado,Rio de Janeiro,Minas Gerais,São Paulo,Espírito Santo
2013,65004.5642309323,71465.62996854076,221086.52813522928,17207.596286080785
2014,61808.365339231634,71009.7480485547,207378.68055873073,16371.767056569084
2015,58071.674926570064,66608.247383679,197758.55611742102,15846.701837913712
2016,52778.96217330384,64546.3220672216,173940.69551501158,10498.476222486646
2017,51070.98210422294,65793.69354783137,171923.70806260733,10073.638902651137
2018,55135.681712271595,67697.08943463129,175043.07028013802,13701.313830919784
2019,52514.03,68669.91,180103.44,14576.61
