Estado,Bahia,Ceará,Piauí,Maranhão,Rio Grande do Norte,Paraíba,Pernambuco,Sergipe,Alagoas
2013,38515.26923953224,23240.254544664956,9288.430153494977,15489.42147109934,11832.417781214639,11896.749185009792,27803.286169864205,8912.156256861612,9363.225757470453
2014,38388.364092107884,23166.93609164203,9401.758724291183,15425.950514958795,10465.821993729816,12140.350081140774,27660.55481978088,8830.056527738767,9311.0504726173
2015,38373.99107854297,22392.69145508019,9237.919131615055,15063.792258521053,10997.396159156988,11564.315325577269,26247.419569384605,8567.091417826075,9112.450837748323
2016,35633.40958579615,21962.063409569317,8975.843396950002,15271.3873755715,10651.982911519828,11157.401214437059,25191.12798146883,8140.79596779922,9370.205505615348
2017,34818.04244824858,20842.05956583944,8646.200408698745,14176.857420228422,10268.040185343549,10616.88861974666,24275.1032662095,7634.164843086279,8739.301679041597
2018,37130.814807778865,21550.18985328518,9442.631424610814,14813.096555297518,10567.192783101698,11107.552390819705,25620.143261789697,7976.537693895793,9174.747619238808
2019,37918.23,23056.9,9619.27,15571.76,10893.87,11391.78,27031.41,8263.81,9517.72
