IDH,Alto,Médio
2013,14736.099170766514,31309.108040197232
2014,33729.73356514297,71442.81079188616
2015,56816.68528857081,120561.23699958036
2016,89353.58834477307,192626.05344714568
2017,121944.14483122775,263324.06633034005
2018,155131.5219488169,334439.1642454329
2019,192426.18800000005,418309.67000000016
