Região,Sul,Sudeste,Nordeste,Norte,Centro Oeste
2013,3594.983214363261,5679.351500915448,22743.311662510878,11090.093461535089,2937.4673716390735
2014,4328.228640229004,6773.01319629438,27003.72044658492,13242.717060832327,3529.027294571573
2015,4959.763224014031,7584.622036948965,30926.924797603337,15054.893063313219,4043.710699843415
2016,6022.272364953239,9339.637143043947,39903.898103592895,19318.06342952909,5220.740270326379
2017,6485.526798683045,9645.414922836742,41189.021099049154,20175.501481159106,5417.2736455977265
2018,7171.02158091391,11101.580399271023,45437.08129200685,22449.04271144279,5973.732115973688
2019,7492.6,11341.79,51256.35999999999,25402.72,6620.870000000001
