Estado,Acre,Amapá,Amazonas,Roraima,Rondônia,Pará,Tocantins
2013,1460.4491252696523,1465.475309697861,1217.9437300869745,1058.8217741508713,1207.0654022608262,2826.1434691978275,1854.1946508710769
2014,1738.3076874515455,1742.7837521149868,1453.643962558757,1260.2290121408398,1442.0341698379564,3397.6478028485367,2208.0706738797016
2015,1996.0962158775892,1961.5572939998203,1667.281709610208,1447.1228037328374,1657.7919041517493,3789.0052374901597,2536.0378984508557
2016,2648.249509909805,2099.9427323347486,2283.9966388970406,1911.4421543974236,2222.474199324661,4917.104841189314,3234.8533534760973
2017,2675.8580745738204,2663.3269448083115,2272.3239717452807,1922.3294240876196,2234.6652675504974,5056.007612640934,3350.990185752645
2018,2978.4486090601777,2957.397767662099,2556.825378259968,2131.621483079289,2479.4657018464504,5654.24444899379,3691.0393225410157
2019,3397.97,3335.09,2903.47,2467.63,2811.24,6342.0,4145.32
