Estado,Rio de Janeiro,Minas Gerais,São Paulo,Espírito Santo
2013,964.486,1370.65,4130.43,508.325
2014,1033.96,1797.78,4401.43,657.95
2015,1328.73,1355.31,4881.91,558.17
2016,986.509,1507.22,4722.95,586.564
2017,1119.68,1348.32,5148.15,621.711
2018,1318.3,1245.35,5581.59,643.442
2019,1232.58,1458.62,5615.24,746.033
