Porte,1000000,5000000,10000000,15000000,20000000
2013,0.76,0.37,0.3,0.17,0.04
2014,0.76,0.37,0.3,0.17,0.04
2015,0.76,0.37,0.3,0.17,0.05
2016,0.76,0.38,0.3,0.17,0.05
2017,0.75,0.37,0.3,0.17,0.04
2018,0.75,0.37,0.3,0.16,0.04
2019,0.74,0.37,0.29,0.16,0.04
