Estado,Rio Grande do Sul,Paraná,Santa Catarina
2013,43533.103117344945,38783.918056400515,26060.231547588348
2014,43081.701114600575,39327.83219996293,26832.28439056198
2015,41795.25826279918,40385.09890193769,25622.828735995412
2016,40884.74493994624,37523.64025298525,23919.25645712945
2017,40287.332143790794,38970.92497949788,24422.605601161573
2018,42872.42134095188,38663.7833903527,25896.888997973507
2019,42718.5,38787.2,27695.7
