2013,164.01422045373383,304.5304781176407,84.83123838874957,1592.8353760677185,994.3131299075184
2014,162.68214257937797,304.9567072456202,84.7642998563938,1571.2061896666069,982.5649410118665
2015,151.7574929901548,291.10997880712074,80.90889634265243,1478.2465832002747,938.111271168419
2016,142.82506459374366,270.1454560895089,79.83742354400535,1440.6919425464437,925.8767346035589
2017,127.41610576618865,251.2847518149395,71.56228294104974,1292.008726151008,826.3156945193124
2018,136.6106978080962,260.132007832522,73.50986828284266,1332.6275193553865,864.0138794389717
2019,128.34226644259576,249.95342938533727,74.92093061340309,1378.2620348999349,898.1053887101292
Região,Sudeste,Sul,Centro,Norte,Nordeste
