Estado,Goiás,Distrito Federal,Mato Grosso,Mato Grosso do Sul
2013,0.96,1e-07,1.0,0.98
2014,0.97,1e-07,1.0,0.72
2015,0.96,1e-07,0.88,0.97
2016,1.0,1e-07,1.0,0.97
2017,1.0,1e-07,1.0,1.0
2018,1.0,1e-07,1.0,0.99
2019,1.0,1e-07,1.0,0.99
