Estado,Rio Grande do Sul,Paraná,Santa Catarina
2013,1.22,1.18,1.23
2014,1.22,1.19,1.23
2015,1.22,1.2,1.23
2016,1.22,1.19,1.22
2017,1.22,1.2,1.23
2018,1.23,1.19,1.24
2019,1.22,1.2,1.24
