Estado,Bahia,Ceará,Piauí,Maranhão,Rio Grande do Norte,Paraíba,Pernambuco,Sergipe,Alagoas
2013,1880.479245241031,1768.1530844994093,1502.1749814085,1158.3244871249144,2187.423911127446,1762.327492458722,2230.2178044022016,2085.452623101577,1515.9033873167155
2014,1861.9212693841455,1749.679816729672,1536.1922842985964,1143.7189551377498,1800.4386902230963,1814.1221386549855,2202.8064251466044,2030.8839758832426,1495.7853613429859
2015,1878.2390090107342,1680.0229435461506,1531.5933886763519,1123.9098469076896,2035.8111538292726,1702.0935224338677,2055.812206625441,1963.0240874322137,1475.8340686021609
2016,1703.1106329379109,1629.6784018462783,1442.6617932726897,1143.9799281236087,1890.6903368672884,1593.950576108581,1949.6084978699178,1777.416236418114,1525.3448766379943
2017,1704.1379986964628,1580.8996531603223,1486.737369146014,1092.5654315450304,1864.2117380588243,1577.4915486398863,1907.6704293492885,1720.0960730075606,1471.336594945176
2018,1901.990601841384,1622.263184364507,1662.4587415870897,1146.014919014181,1930.0724294900376,1671.0817223301094,2017.756715599781,1823.0955226094654,1579.05477844858
2019,1925.32,1746.97,1648.6,1202.82,1944.11,1690.53,2121.2,1846.14,1613.97
