Estado,Goiás,Mato Grosso,Mato Grosso do Sul
2013,310.16,509.56,375.2
2014,336.35,551.87,409.37
2015,348.15,572.09,425.05
2016,389.71,629.1,488.58
2017,371.88,607.48,461.91
2018,392.29,629.97,481.36
2019,410.54,660.25,517.79
