Estado,Rio Grande do Sul,Paraná,Santa Catarina
2013,0.09,0.11,0.08
2014,0.09,0.11,0.08
2015,0.09,0.11,0.08
2016,0.09,0.11,0.08
2017,0.08,0.1,0.08
2018,0.08,0.1,0.08
2019,0.08,0.1,0.07
