2013,4436.888528909272,4068.1833629183207,605.6242281909878,3892.270157224423,2802.0796051355233
2014,4189.225766497487,4069.823970488572,605.9647080221179,3871.3238309293115,2754.962443938758
2015,3945.2227972444953,3979.1880508796253,594.2823633244584,3642.3664317233474,2679.5765591893783
2016,3494.3852114885167,3745.975301994263,558.5935574246577,3353.815004485032,2571.4101820046894
2017,3437.182353668383,3748.705719611889,544.8231080364105,3193.5344929024786,2445.528165673393
2018,3552.277306194537,3870.8385932946785,564.0980039097853,3348.8038806455875,2596.562386736371
2019,3574.2771083048974,3892.9164093495647,591.1929706967635,3495.8189960598947,2685.479380008857
Região,Sudeste,Sul,Centro,Norte,Nordeste
