Estado,Rio Grande do Sul,Paraná,Santa Catarina
2013,1324.8958124930855,1542.2894938828535,727.7979079873217
2014,1624.5527003408088,1835.3124013295608,868.3635385586339
2015,1889.410341801563,2083.6879600649554,986.664922147514
2016,2176.0234521623747,2587.658173736894,1258.59073905397
2017,2381.157253640214,2791.7267040809606,1312.6428409618698
2018,2590.6973082461777,3098.882137900034,1481.442134767699
2019,2716.69,3242.65,1533.26
