Estado,Goiás,Mato Grosso,Mato Grosso do Sul
2013,24354.379499684925,14130.184340512213,12669.831799764714
2014,24452.56541844801,14392.15669205131,12732.341528816336
2015,24134.197661118298,14723.302823395707,12099.549785570614
2016,22507.093747004994,14294.715718568874,11436.627560456542
2017,21821.92176739421,14129.422606997448,11420.869049965344
2018,22104.72023899533,15315.390378145134,12058.023040502418
2019,23872.4,16055.83,12316.34
