Estado,Bahia,Ceará,Piauí,Maranhão,Rio Grande do Norte,Paraíba,Pernambuco,Sergipe,Alagoas
2013,10225.069778889276,7718.3940530066175,4505.259869278327,7619.452697570274,4452.15795791549,4998.264261654584,7266.2781323797435,4333.209676462739,4359.323322285874
2014,10224.195457626893,7694.916537135117,4494.047676365555,7590.439047384005,4329.002697003697,4985.679537266373,7223.459541163657,4322.368297763993,4342.471671322233
2015,9817.412633781454,7433.030414456675,4330.653624028571,7304.012490394945,3989.7581426447573,4803.278370619371,7035.53732394893,4164.161559790131,4181.804924633902
2016,9615.761047707058,7354.220706214089,4341.76397842196,7316.114089891734,4081.843758886663,4782.541232843035,6844.676867935061,4113.572458424065,4246.646830261484
2017,8668.985409360528,6581.6071290720265,3860.0106059978752,6528.620749358079,3730.2347014759935,4266.593188361956,6203.253940754575,3698.382856712674,3772.3215771104333
2018,8957.355002313881,6827.12552825153,4015.493571088961,6750.827732375943,3852.4569002453345,4429.095361884576,6458.945028791436,3822.9725395842624,3927.8300632460678
2019,9282.83,7103.4,4223.02,7061.62,4076.16,4599.01,6758.91,4020.09,4131.32
