Estado,Rio de Janeiro,Minas Gerais,São Paulo,Espírito Santo
2013,3047.9091483437496,5955.051376948311,2798.6269109136847,2051.967182524542
2014,2881.0307646640945,5894.549338283139,3079.2191436760254,1991.9926699953235
2015,2585.060758872977,5603.071615404473,2887.787891960763,1936.6048840989642
2016,2690.9407713787177,5288.350254986731,2478.1596773423053,1876.4865438110667
2017,2268.8544873468077,4790.658920892762,2396.2297144706467,1623.0508326536383
2018,2621.521204612546,5083.756215548009,2524.237359217803,1752.8753697876934
2019,2568.23,4986.81,2031.44,1755.31
