Estado,Rio Grande do Sul,Paraná,Santa Catarina
2013,891.226,1004.65,548.067
2014,952.706,1087.51,789.767
2015,880.218,1154.68,804.132
2016,850.106,1239.78,596.962
2017,807.607,1403.56,569.348
2018,847.985,1727.66,654.312
2019,970.447,1641.64,678.835
