Região,Sul,Sudeste,Nordeste,Norte,Centro Oeste
2013,2443.943,6973.8910000000005,5439.896,1770.3615,520.864
2014,2829.983,7891.12,5881.268,1958.1620000000003,612.408
2015,2839.03,8124.12,5550.059,1883.9541,592.277
2016,2686.848,7803.243,5698.181000000001,2076.3770000000004,582.0832
2017,2780.515,8237.860999999999,6368.251,2233.627,642.6379999999999
2018,3229.957,8788.682,6967.905,2079.743,712.387
2019,3290.922,9052.472999999998,6720.367,3095.2520000000004,947.546
