Estado,Goiás,Distrito Federal,Mato Grosso,Mato Grosso do Sul,Distrito Federal
2013,0.16,0.22,0.15,0.81
2014,0.16,0.22,0.15,0.76
2015,0.16,0.21,0.15,1.11
2016,0.17,0.21,0.17,0.62
2017,0.16,0.19,0.15,0.59
2018,0.16,0.18,0.14,0.55
2019,0.15,0.18,0.15,0.55
