Estado,Goiás,Mato Grosso,Mato Grosso do Sul
2013,0.13,0.18,0.12
2014,0.13,0.18,0.12
2015,0.12,0.17,0.12
2016,0.13,0.17,0.13
2017,0.12,0.15,0.12
2018,0.13,0.15,0.11
2019,0.12,0.14,0.12
