Estado,Goiás,Mato Grosso,Mato Grosso do Sul
2013,1551.7784178606944,1820.4135692873458,2007.5541023671958
2014,1833.5569447193675,2183.312441210043,2377.3708259233294
2015,2127.9380907465534,2628.027171153163,2660.069579446929
2016,2545.3147238133865,3274.6297426253686,3228.527071500267
2017,2802.662284189059,3678.031212023,3664.8376025751745
2018,2959.0148418984395,4122.480504061866,4065.343881044492
2019,3401.42,4607.83,4431.95
