2013,2735.8285748856015,2409.7851621360114,420.4335565367048,1472.278126207791,1157.4735933284855
2014,2816.1046298163146,2633.092081179444,456.7901711769178,1608.6680149709011,1239.5884113160191
2015,2896.158306579749,2815.6993901508645,490.2278276462724,1652.2185318803643,1329.5387607383377
2016,2916.4944357925,3024.632696726296,524.4579498359321,1664.780735115175,1431.9269035652862
2017,3088.2435104961933,3263.3384953146146,553.6842823887839,1774.2565998228945,1510.8385401312069
2018,3287.7300430661976,3475.4646394862198,589.3763889356645,1940.6588391438618,1667.6544966436331
2019,3445.9348418623017,3642.9629799642275,633.9944719466074,2117.55696115996,1787.3739912987278
Região,Sudeste,Sul,Centro,Norte,Nordeste
