IDH,Alto,Médio
2013,6495.699573658062,4484.404005213639
2014,15162.261655584263,10240.731693293777
2015,25536.679109203767,16691.30351198069
2016,38991.6045591355,25540.012223783557
2017,53034.5261948953,35066.837347087465
2018,67265.7226921826,44581.56046691727
2019,83555.1298,55751.06500000002
