2013,3.1032925177628164e-09,7.685493384619538e-09,4.905661477856309e-08,2.124546824842773e-07,6.423711093740253e-08
2014,3.126846136506952e-09,7.607061593946393e-09,4.880664728692798e-08,2.064427135180133e-07,6.424848398554885e-08
2015,3.0957429304994454e-09,7.36456405425067e-09,4.6588889834402795e-08,2.040692745883453e-07,6.245757602434224e-08
2016,3.773897483199465e-09,7.272890079361414e-09,4.8751513163481176e-08,2.080644322470286e-07,6.341925886323864e-08
2017,3.361658327189257e-09,6.670374296961523e-09,4.463770627068892e-08,1.9467932746094907e-07,5.95330233953176e-08
2018,3.0212289327605584e-09,6.688276227914324e-09,4.293593698425243e-08,1.8819593766171962e-07,5.9228091893938e-08
2019,2.865456995436931e-09,6.318412742140668e-09,4.3092909737731526e-08,1.8362228773780231e-07,5.946658455748116e-08
Região,Sudeste,Sul,Centro,Norte,Nordeste
