Estado,Rio de Janeiro,Minas Gerais,São Paulo,Espírito Santo
2013,3784.963678059909,3181.148091236794,4999.295063463391,3947.4242904117373
2014,3579.773127692307,3140.487248723722,4639.446826944325,3701.308458592055
2015,3352.658464841457,2923.2318008451325,4389.333857510454,3539.5445298681325
2016,3010.824900434537,2822.1304975355374,3831.588094335413,2169.7672902413574
2017,2918.9665005846787,2888.465036857758,3759.353632237076,2104.0436970472365
2018,3060.275087430874,2975.821821816407,3788.37672527793,3007.8722984335345
2019,2892.9,3008.35,3877.95,3190.45
