2013,4.425328129095001e-08,9.649650395234969e-08,3.046375218867285e-08,1.9971045395062617e-07,9.706851255121979e-08
2014,4.3868051615695364e-08,9.578376462075623e-08,3.0247008065764414e-08,1.998012091454472e-07,9.593322614642484e-08
2015,4.355392459732009e-08,9.52690837713871e-08,3.0169533907369114e-08,1.9655716780992822e-07,9.666525125732307e-08
2016,4.254547701255625e-08,9.463006956642118e-08,2.9735897794106023e-08,1.8724197059289778e-07,9.4708686181889e-08
2017,4.264194324877453e-08,9.452730700779233e-08,2.995386349184479e-08,1.9559283775397017e-07,9.766079723175684e-08
2018,4.258259337896879e-08,9.413838137241929e-08,2.9771705313494364e-08,1.9679485528346713e-07,9.933209702524175e-08
2019,4.239803895805745e-08,9.3761704727898e-08,2.9638344361508306e-08,1.9617303513705294e-07,9.82299139529703e-08
Região,Sudeste,Sul,Centro,Norte,Nordeste
