Estado,Rio de Janeiro,Minas Gerais,São Paulo,Espírito Santo
2013,61956.65508258855,65510.57859159245,218287.9012243156,15155.629103556243
2014,58927.33457456754,65115.19871027155,204299.4614150547,14379.774386573761
2015,55486.614167697095,61005.17576827453,194870.76822546026,13910.096953814746
2016,50088.021401925114,59257.971812234864,171462.53583766927,8621.989678675582
2017,48802.127616876125,61003.0346269386,169527.47834813668,8450.588069997499
2018,52514.16050765904,62613.33321908327,172518.83292092022,11948.43846113209
2019,49945.8,63683.1,178072.0,12821.3
