Estado,Acre,Amapá,Amazonas,Roraima,Rondônia,Pará,Tocantins
2013,2719.338650794072,2769.7093423822466,1694.8485975400856,3002.9755221128157,1825.0107672739114,1087.0580459067949,2175.441467834786
2014,3221.4167444276113,3261.7642710579125,1928.827183540299,3590.9998086071246,2213.658760857967,1316.914174792701,2588.6200964846457
2015,3672.1653479195634,3434.8209616825875,2036.0862408103378,4063.1178482548407,2527.319187402135,1517.2618566265296,3012.879627593582
2016,4636.564257119449,3601.368718730562,2300.2343860317023,5226.004920388797,3070.291704996144,1825.4760751137546,3839.5745547778492
2017,4933.131627620839,4566.827016798539,2646.410386159862,5360.393699916012,3276.9324218294546,1938.2196057634662,4156.882723241107
2018,5436.6324589033575,5057.515179458391,3064.259423446952,5384.472189339484,3818.701558234991,2108.4145426994223,4643.467171420088
2019,5964.61,5505.71,3430.05,6442.23,4312.16,2397.34,5155.13
