Estado,Bahia,Ceará,Piauí,Maranhão,Rio Grande do Norte,Paraíba,Pernambuco,Sergipe,Alagoas
2013,2560.1524742668794,2647.380172784949,2917.075409671257,2279.774382271107,3506.990790284688,3039.209805805779,3019.296589044716,4058.9851589013656,2836.532304701215
2014,2537.8435867516523,2619.8727859718706,2942.913695503402,2251.6779264425268,3070.4971963996904,3078.2754575772747,2981.3903514388394,3978.2660303012467,2803.0765735975738
2015,2523.9573461066866,2514.77546135874,2883.2165969863927,2181.817529414663,3194.9029442932874,2911.3123784191253,2808.661264625037,3819.5854655472967,2727.51750426337
2016,2332.5593067740756,2450.1198269724177,2794.320482004747,2196.04890409215,3065.3187407845408,2789.7582604486624,2676.9668131615927,3592.939089158584,2789.6088678032493
2017,2269.1009854724994,2310.534105208365,2685.7792736801352,2025.1964487552646,2927.872585039025,2637.3691852562074,2562.4873415949314,3336.437869718454,2588.7876198752765
2018,2506.7005019958538,2374.5091682920183,2892.4905826118743,2105.60722784433,3037.4086047617334,2779.3217522098084,2697.9125026889615,3501.0756295339907,2761.1303795820645
2019,2549.46,2524.83,2938.77,2200.9,3106.45,2835.1,2828.42,3595.0,2851.87
