Estado,Bahia,Ceará,Piauí,Maranhão,Rio Grande do Norte,Paraíba,Pernambuco,Sergipe,Alagoas
2013
2014
2015
2016
2017
2018
2019,0.27,0.27,0.26,0.27,0.25,0.24,0.24,0.33,0.33,0.33,0.33,0.32,0.32,0.31,0.49,0.48,0.47,0.48,0.45,0.43,0.44,0.49,0.49,0.48,0.48,0.46,0.46,0.45,0.38,0.41,0.36,0.38,0.36,0.36,0.37,0.42,0.41,0.42,0.43,0.4,0.4,0.4,0.26,0.26,0.27,0.27,0.26,0.25,0.25,0.49,0.49,0.49,0.51,0.48,0.48,0.49,0.47,0.47,0.46,0.45,0.43,0.43,0.43
