Estado,Rio de Janeiro,Minas Gerais,São Paulo,Espírito Santo
2013,1985.24,1697.32,2411.13,2231.09
2014,2057.99,1835.43,2445.56,2297.49
2015,2095.99,1873.5,2528.26,2400.16
2016,2180.65,2062.51,2516.89,2299.04
2017,2258.32,2235.29,2761.93,2340.28
2018,2442.8,2381.12,2759.79,2597.93
2019,2402.39,2489.25,2924.82,2831.57
