Estado,Bahia,Ceará,Piauí,Maranhão,Rio Grande do Norte,Paraíba,Pernambuco,Sergipe,Alagoas
2013,1534.59,486.082,231.68,594.206,258.196,160.245,1693.66,232.433,248.804
2014,1556.83,517.815,250.937,578.81,300.284,154.889,1979.58,263.714,278.409
2015,1577.78,521.617,252.648,349.199,279.909,169.448,1875.97,214.859,308.629
2016,1478.91,666.505,372.514,404.743,281.554,170.407,1813.96,235.327,274.261
2017,1546.62,744.02,380.269,433.016,601.904,143.306,1962.03,279.837,277.249
2018,1742.7,811.175,412.103,419.416,468.478,217.674,2023.99,406.673,465.696
2019,1812.83,916.771,435.445,404.616,314.398,183.034,2037.86,348.421,266.992
