IDH,Muito Alto,Alto,Médio
2013,1e-07,0.99,0.89
2014,1e-07,0.95,0.92
2015,1e-07,0.95,0.97
2016,1e-07,0.98,0.97
2017,1e-07,0.98,0.97
2018,1e-07,0.92,0.97
2019,1e-07,0.9,0.98
