Estado,Rio de Janeiro,Minas Gerais,São Paulo,Espírito Santo
2013,0.95,0.92,0.99,0.88
2014,0.95,0.92,0.99,0.88
2015,0.96,0.92,0.99,0.88
2016,0.95,0.92,0.99,0.82
2017,0.96,0.93,0.99,0.84
2018,0.95,0.92,0.99,0.87
2019,0.95,0.93,0.99,0.88
