Estado,Goiás,Mato Grosso,Mato Grosso do Sul
2013,8706.503930545356,4754.565580038615,4572.528064779507
2014,10426.2233098723,5795.2658275229005,5477.863885927662
2015,12310.02600258946,7155.527084425064,6192.117148139549
2016,14772.347018114824,9014.8212870442,7519.721582624217
2017,16646.434890659824,10405.59636224536,8773.871581900685
2018,17866.456459932557,12102.453097147136,9898.419414782182
2019,20991.1,13755.2,10877.4
