IDH,Alto,Médio
2013,211398.25652031932,56382.43074797141
2014,474916.7202877915,128453.41132018359
2015,797790.8586620331,218393.77152370478
2016,1238772.0987734648,344004.3655282369
2017,1706786.8448048576,477408.86373751436
2018,2179887.337359076,615354.5862079423
2019,2726817.42,777581.05
