Estado,Acre,Amapá,Amazonas,Roraima,Rondônia,Pará,Tocantins
2013,1016.77,890.631,8177.56,635.421,3040.77,9116.89,2126.37
2014,1153.78,1010.19,8604.91,749.612,3472.5,10344.8,2383.21
2015,1250.28,880.002,8319.37,795.661,3681.96,11283.9,2657.44
2016,1308.19,824.409,7953.19,891.667,3752.04,11703.8,3046.28
2017,1518.39,1050.01,9090.05,942.273,3946.95,11960.9,3314.85
2018,1815.42,1285.95,10334.3,1010.75,4396.93,12774.2,3668.0
2019,1862.43,1321.26,11312.7,1434.82,4852.43,14282.0,3963.01
