Estado,Acre,Amapá,Amazonas,Roraima,Rondônia,Pará,Tocantins
2013,0.006402782711093805,0.006402782711093805,0.01280556542218761,0.0,0.01920834813328141,0.006402782711093805,0.0
2014,0.006993851036626911,0.027975404146507645,0.020981553109880733,0.0,0.020981553109880733,0.020981553109880733,0.0
2015,0.022903794348653177,0.007634598116217726,0.030538392464870903,0.0,0.030538392464870903,0.007634598116217726,0.0
2016,0.02610570278884571,0.06961520743692189,0.02610570278884571,0.0,0.02610570278884571,0.01740380185923047,0.0
2017,0.01866139950187475,0.0,0.02799209925281212,0.0,0.01866139950187475,0.10263769726031112,0.0
2018,0.009625441882980845,0.0,0.01925088376596169,0.0,0.0,0.009625441882980845,0.0
2019,0.01,0.0,0.12,0.02,0.01,0.0,0.0
