Estado,Bahia,Ceará,Piauí,Maranhão,Rio Grande do Norte,Paraíba,Pernambuco,Sergipe,Alagoas
2013,11597.744491566871,6363.283944549066,1960.890621968744,3226.3429997720345,3025.5837478656886,2828.0771095765776,8419.275098125687,1877.1678352384815,2051.381150024633
2014,13776.208017906223,7567.976268223614,2400.5554421097477,3832.658343475694,3001.7608649202703,3499.63213866463,9996.591040692309,2204.888471658037,2430.3282659726683
2015,16644.79812101556,8719.550854513427,2860.3021842409707,4522.949692794635,4084.5481651670643,3940.811586433033,11198.04678696235,2566.339618374124,2873.9299418784194
2016,19701.36476167678,11061.508385689704,3509.067655570133,6023.977937535444,4975.111712786131,4827.2403102891785,13892.497815121427,3049.537671279011,3879.7164237661646
2017,22765.881015314593,12415.429088597271,4166.950548272368,6658.704586060442,5691.94145416607,5528.6915313236705,15733.70584102313,3426.568853735238,4324.35012237093
2018,26102.465807105116,13640.791218885135,5028.196083482831,7469.622039007742,6221.144474133828,6187.53243107846,17752.683736875722,3848.242039373859,4861.2235431387635
2019,28635.4,15953.5,5396.25,8510.14,6817.71,6792.77,20272.5,4243.72,5386.4
