Estado,Bahia,Ceará,Piauí,Maranhão,Rio Grande do Norte,Paraíba,Pernambuco,Sergipe,Alagoas
2013,770.9142467638272,724.8654335056406,615.8260439357132,474.862379768272,896.7481353849538,722.4771955544028,914.2917600133509,854.9443670642223,621.4540899387646
2014,910.7392819895564,855.8375513520351,751.4123615241588,559.4381444197866,880.6657225320607,887.3588379741126,1077.4796845537785,993.3856196893765,731.6477384946511
2015,1094.770831473157,979.2364581804343,892.7211923274548,655.0943259601781,1186.6150468112562,992.100756006261,1198.2730781347207,1144.1895850794344,860.220708146716
2016,1289.6478234717667,1234.0426765315256,1092.4279408029672,866.2568337413376,1431.6889523458763,1206.9884665413517,1476.3035984120136,1345.914314882659,1155.0381179915487
2017,1483.65590599705,1376.362189561021,1294.3826615492853,951.2088554095598,1623.0192374770506,1373.395027040223,1660.8552249671018,1497.5493179261957,1280.9744460071884
2018,1762.1777727267183,1503.0127500274589,1540.253584672712,1061.772868669734,1788.1953421364155,1548.242701435586,1869.4340716287738,1689.0821670673618,1462.9805372361418
2019,1925.32,1746.97,1648.6,1202.82,1944.11,1690.53,2121.2,1846.14,1613.97
