Estado,Bahia,Ceará,Piauí,Maranhão,Rio Grande do Norte,Paraíba,Pernambuco,Sergipe,Alagoas
2013,12938.615246924137,8020.9579856685405,3331.495900236328,5582.83595432842,4142.658039122091,4201.6276678912645,9333.848580578326,3215.72078325433,3346.2094949064217
2014,15411.160574738497,9538.63367481398,4016.4987118244685,6640.1929712577985,4280.971188774516,5109.141065425654,11091.478420476253,3808.263791059939,3974.689470327513
2015,18453.892490634513,10996.188012769553,4692.903481459758,7713.692552701742,5406.700232335534,5807.3868452689885,12567.311959105999,4388.664746528481,4633.872768825162
2016,22353.791184032805,14154.686090130735,5954.667296631058,10159.295297307195,6910.379671928839,7301.834685247582,15665.684167549123,5445.449458031834,6184.667240101719
2017,24948.23838006133,15225.55593258708,6548.481029902619,10737.95588737375,7601.413173996898,7922.958418113952,17323.75038558037,5824.605343224897,6617.621515057065
2018,28277.238146145806,16771.081173649334,7602.260628155219,11926.788782782734,8306.775595896235,8800.666644353865,19444.066384553116,6414.067205794414,7386.900991465405
2019,31202.9,19412.7,8388.36,13545.3,9309.6,9762.19,22145.8,7282.0,8293.09
