IDH,Médio,Alto,Muito Alto
2013,87691.53878816865,3501.395020031744,0.0
2014,104109.50137978514,4233.792068451638,0.0
2015,120745.1391990038,4687.981456054232,0.0
2016,150290.12196604104,5504.697220701211,0.0
2017,165325.6303089938,6444.595818085608,0.0
2018,185662.23197192702,7299.694488005599,0.0
2019,209137.32,8558.8,0
