Estado,Acre,Amapá,Amazonas,Roraima,Rondônia,Pará,Tocantins
2013,1967.5431132055703,1890.2167064036905,5168.204551523408,1370.0674445198524,2682.938831081504,7215.936115402717,2908.099087899828
2014,2370.8245813530466,2277.6594916941394,6000.05977357741,1664.592497525498,3259.057650706738,8845.333221553154,3492.617306074894
2015,2741.7139717017612,2455.981502604196,6466.092336138137,1913.7036330073674,3764.8570036485635,10304.493423440226,4107.253459964696
2016,3539.6722411395895,2817.327444972229,7521.557683720366,2511.838510937156,4683.189042300328,12640.381290359092,5290.973312729304
2017,3787.480320101495,3433.8467995409687,8685.13662726927,2593.3093738772773,5012.993086789112,13515.705203227806,5759.589027360365
2018,4353.009837159257,3953.9293912489884,10108.254047831164,2865.7443100523556,5691.629665267286,14964.000714538512,6429.448661923418
2019,4870.55,4380.67,11508.0,3591.3,6484.92,17168.5,7233.25
