Estado,Bahia,Ceará,Piauí,Maranhão,Rio Grande do Norte,Paraíba,Pernambuco,Sergipe,Alagoas
2013,0.006402782711093805,0.0,0.006402782711093805,0.006402782711093805,0.03841669626656282,0.0,0.006402782711093805,0.0,0.06402782711093805
2014,0.006993851036626911,0.0,0.0,0.013987702073253823,0.027975404146507645,0.0,0.0,0.006993851036626911,0.07693236140289603
2015,0.007634598116217726,0.0,0.0,0.015269196232435452,0.0,0.030538392464870903,0.0,0.007634598116217726,0.08398057927839499
2016,0.008701900929615236,0.01740380185923047,0.04350950464807618,0.0,0.0,0.0,0.008701900929615236,0.0,0.09572091022576759
2017,0.009330699750937374,0.009330699750937374,0.01866139950187475,0.01866139950187475,0.0,0.0373227990037495,0.0,0.10263769726031112,0.09330699750937375
2018,0.0,0.01925088376596169,0.0,0.009625441882980845,0.13475618636173184,0.01925088376596169,0.0,0.0,0.0
2019,0.0,0.0,0.0,0.01,0.01,0.03,0.0,0.0,0.01
