Estado,Acre,Amapá,Amazonas,Roraima,Rondônia,Pará,Tocantins
2013,651.0157377158847,570.2516768764185,5235.913978693225,406.84625930659365,1946.9389584412706,5837.346567094399,1361.4685073388532
2014,806.9365449039398,706.511837869014,6018.145872358127,524.2674663267971,2428.614772468695,7234.999020369807,1666.7815728999622
2015,954.5385332744697,671.8461611467831,6351.504653011827,607.4551971747911,2811.0284879989017,8614.80416835892,2028.8486417961633
2016,1138.3739777113356,717.3925443483167,6920.7871454406595,775.9197896207229,3264.988036395355,10184.53081000308,2650.84267638683
2017,1416.76411948258,979.7328045481753,8481.652727100827,879.2066446415013,3682.780538196227,11160.356665098683,3092.9870069394756
2018,1747.4219703201086,1237.7836989419218,9947.220405128894,972.891538322289,4232.239417853497,12295.731970157392,3530.612082677374
2019,1862.43,1321.26,11312.7,1434.82,4852.43,14282.0,3963.01
