Estado,Acre,Amapá,Amazonas,Roraima,Rondônia,Pará,Tocantins
2013,1880.9006575590493,1993.852147365455,319.8446075499799,2169.397240955514,698.4475520396676,354.61171767121925,1254.3883692785205
2014,2200.1116714000204,2320.8884849515307,375.2550773702169,2535.9983612850647,824.7149142390455,420.82001687384127,1475.1150852412015
2015,2484.2142464379695,2558.5141553050003,423.3461001423891,2861.821469266098,937.5591870640015,463.48118243934573,1673.8169255976902
2016,3242.6763624118216,2684.336293064919,570.7576819734633,3717.1040010944444,1243.4929409410877,594.3746410964391,2110.280590639132
2017,3225.4082978047786,3338.6643313816567,559.1888360736768,3678.143180420011,1237.5027158675712,604.302769369459,2161.6618726991633
2018,3426.3974234103403,3565.302175223637,626.5777648145212,3697.0841000435275,1410.7240132534384,664.1458644837953,2373.306703319055
2019,3852.86,3943.44,700.54,4073.6,1581.81,737.2,2635.52
