Estado,Bahia,Ceará,Piauí,Maranhão,Rio Grande do Norte,Paraíba,Pernambuco,Sergipe,Alagoas
2013,278.6362980213802,360.4446527210257,580.047294146121,459.74540978737946,540.9647084776044,523.465903328185,323.4877909125923,809.0620261565241,541.4000977019588
2014,330.620320054464,425.64577408911384,688.0760465364655,541.9395291261461,621.235812179422,618.3473517012951,380.8361704974452,952.5415296354755,639.4478002787985
2015,376.37041793330144,486.55293794655563,787.8218142106234,616.623586052557,675.5932219022227,704.8184634911042,438.8137959258462,1082.1355715908167,729.5698305838821
2016,476.637921518745,621.2722168698798,1023.5175873413441,796.6590301062748,889.4648035206213,905.5024069339022,550.7781174390668,1374.769818365263,957.3483326725499
2017,491.86783737066366,635.2340390438164,1043.9093574351225,811.9668230263213,926.0346274815307,922.7502211692008,570.0964240825226,1407.218813637371,972.8747402312364
2018,560.258470240783,696.9493704209941,1139.6138171774003,889.0635649634087,1025.9469739812791,1026.7747619832157,630.1584291949899,1554.6436202877683,1095.1827774455605
2019,624.14,777.85,1290.17,998.08,1162.34,1144.57,707.22,1748.86,1237.9
