Estado,Acre,Amapá,Amazonas,Roraima,Rondônia,Pará,Tocantins
2013,309.4,173.37,120.28,148.29,92.51,46.18,181.67
2014,340.01,156.79,130.2,151.5,107.36,44.68,204.52
2015,309.72,176.11,136.55,154.1,114.93,43.46,174.7
2016,311.15,204.19,141.46,219.92,134.32,46.83,190.26
2017,270.66,299.58,130.81,249.11,136.76,51.66,225.14
2018,277.7,211.42,116.45,239.54,149.36,54.0,198.82
2019,291.66,232.99,107.44,298.22,163.44,155.08,204.11
