Estado,Bahia,Ceará,Piauí,Maranhão,Rio Grande do Norte,Paraíba,Pernambuco,Sergipe,Alagoas
2013,6546.89,4941.92,2884.62,4878.57,2850.62,3200.28,4652.44,2774.46,2791.18
2014,7150.65,5381.71,3143.07,5308.64,3027.64,3486.91,5051.98,3023.0,3037.06
2015,7495.2,5674.82,3306.28,5576.32,3046.02,3667.11,5371.35,3179.17,3192.64
2016,8367.54,6399.57,3778.16,6366.41,3551.98,4161.72,5956.17,3579.59,3695.39
2017,8088.77,6141.1,3601.66,6091.66,3480.57,3981.03,5788.07,3450.85,3519.84
2018,8621.85,6571.41,3865.09,6497.97,3708.16,4263.2,6217.02,3679.78,3780.71
2019,9282.83,7103.4,4223.02,7061.62,4076.16,4599.01,6758.91,4020.09,4131.32
