Porte,1000000,5000000,10000000,15000000,20000000
2013,3112.46,921.73,576.68,435.18,0
2014,3326.52,991.71,623.4,472.73,0
2015,3410.31,1027.51,647.65,492.98,0
2016,3621.54,1170.51,725.36,547.74,0
2017,3619.76,1109.93,692.24,527.15,0
2018,3683.6,1195.04,737.41,582.06,0
2019,3942.99,1291.73,793.37,624.14,0
