IDH,Médio,Alto,Muito Alto
2013,683.38,3223.45,0
2014,737.87,3440.96,0
2015,766.4,3509.1,0
2016,865.25,3555.49,0
2017,823.77,3722.16,0
2018,887.18,3760.18,0
2019,956.86,3997.76,0
