Região,Nordeste,Norte
2013,22743.31166251088,11090.09346153509
2014,27003.720446584925,13242.717060832323
2015,30926.92479760334,15054.893063313219
2016,39903.898103592895,19318.06342952909
2017,41189.021099049154,20175.501481159106
2018,45437.08129200686,22449.04271144279
2019,51256.36,25402.72
